Samples,Samplename,Type,Mom,Time,ColonyID,Focus
m11L,2016-11L,adult,M11,yr16,M11,Yes
m11r10,2016-11r10,egg,M11,yr16,M11,Yes
m11r11,2016-11r11,egg,M11,yr16,M11,Yes
m11r12,2016-11r12,egg,M11,yr16,M11,Yes
m11r1,2016-11r1,egg,M11,yr16,M11,Yes
m11r2,2016-11r2,egg,M11,yr16,M11,Yes
m11r3,2016-11r3,egg,M11,yr16,M11,Yes
m11r4,2016-11r4,egg,M11,yr16,M11,Yes
m11r5,2016-11r5,egg,M11,yr16,M11,Yes
m11r6,2016-11r6,egg,M11,yr16,M11,Yes
m11r7,2016-11r7,egg,M11,yr16,M11,Yes
m11r8,2016-11r8,egg,M11,yr16,M11,Yes
m11r9,2016-11r9,egg,M11,yr16,M11,Yes
m11R,2016-11R,adult,M11,yr16,M11,Yes
m24C,2016-24C,adult,M24,yr16,M24,Yes
m24L,2016-24L,adult,M24,yr16,M24,Yes
m24r10,2016-24r10,egg,M24,yr16,M24,Yes
m24r11,2016-24r11,egg,M24,yr16,M24,Yes
m24r12,2016-24r12,egg,M24,yr16,M24,Yes
m24r1,2016-24r1,egg,M24,yr16,M24,Yes
m24r2,2016-24r2,egg,M24,yr16,M24,Yes
m24r3,2016-24r3,egg,M24,yr16,M24,Yes
m24r4,2016-24r4,egg,M24,yr16,M24,Yes
m24r5,2016-24r5,egg,M24,yr16,M24,Yes
m24r6,2016-24r6,egg,M24,yr16,M24,Yes
m24r7,2016-24r7,egg,M24,yr16,M24,Yes
m24r8,2016-24r8,egg,M24,yr16,M24,Yes
m24r9,2016-24r9,egg,M24,yr16,M24,Yes
m24R,2016-24R,adult,M24,yr16,M24,Yes
m7C,2016-7C,adult,M7,yr16,M7,Yes
m7L,2016-7L,adult,M7,yr16,M7,Yes
m7r10,2016-7r10,egg,M7,yr16,M7,Yes
m7r11,2016-7r11,egg,M7,yr16,M7,Yes
m7r12,2016-7r12,egg,M7,yr16,M7,Yes
m7r1,2016-7r1,egg,M7,yr16,M7,Yes
m7r2,2016-7r2,egg,M7,yr16,M7,Yes
m7r3,2016-7r3,egg,M7,yr16,M7,Yes
m7r4,2016-7r4,egg,M7,yr16,M7,Yes
m7r5,2016-7r5,egg,M7,yr16,M7,Yes
m7r6,2016-7r6,egg,M7,yr16,M7,Yes
m7r7,2016-7r7,egg,M7,yr16,M7,Yes
m7r8,2016-7r8,egg,M7,yr16,M7,Yes
m7r9,2016-7r9,egg,M7,yr16,M7,Yes
m7R,2016-7R,adult,M7,yr16,M7,Yes
m9C,2016-9C,adult,M9,yr16,M9,Yes
m9L,2016-9L,adult,M9,yr16,M9,Yes
m9r10,2016-9r10,egg,M9,yr16,M9,Yes
m9r11,2016-9r11,egg,M9,yr16,M9,Yes
m9r12,2016-9r12,egg,M9,yr16,M9,Yes
m9r1,2016-9r1,egg,M9,yr16,M9,Yes
m9r2,2016-9r2,egg,M9,yr16,M9,Yes
m9r3,2016-9r3,egg,M9,yr16,M9,Yes
m9r4,2016-9r4,egg,M9,yr16,M9,Yes
m9r5,2016-9r5,egg,M9,yr16,M9,Yes
m9r6,2016-9r6,egg,M9,yr16,M9,Yes
m9r7,2016-9r7,egg,M9,yr16,M9,Yes
m9r8,2016-9r8,egg,M9,yr16,M9,Yes
m9r9,2016-9r9,egg,M9,yr16,M9,Yes
m9R,2016-9R,adult,M9,yr16,M9,Yes
